ID;UrunAdi;Kategori;IlgiAlani;Marka;Fiyat;YasGrubu;PopulerlikPuan
2658;Zara Klasik Parfüm;Moda;Klasik;Zara;4767.95;Yetiskin;49
2659;Playmobil Aksiyon Koleksiyonu;Oyuncak;Aksiyon;Playmobil;1052.33;Cocuk;43
2660;Iletisim Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Iletisim;444.61;Yasli;12
2661;Wilson Outdoor Eşofman Takımı;Spor;Outdoor;Wilson;1206.94;Genc;3
2662;Levi's Klasik Parfüm;Moda;Klasik;Levi's;1405.50;Yasli;69
2663;Bridgestone Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Bridgestone;8278.50;Cocuk;7
2664;Ithaki Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Ithaki;284.57;Cocuk;3
2665;Spin Master Egitici Koleksiyonu;Oyuncak;Egitici;Spin Master;3115.60;Cocuk;30
2666;Madame Coco Konfor Robot Süpürge;Ev-Yasam;Konfor;Madame Coco;11930.95;Cocuk;99
2667;Salomon Outdoor Koşu Ayakkabısı;Spor;Outdoor;Salomon;7829.27;Genc;98
2668;Castrol Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Castrol;6161.66;Cocuk;35
2669;Playmobil Egitici Koleksiyonu;Oyuncak;Egitici;Playmobil;2691.34;Cocuk;27
2670;Nike Aksesuar Saat;Moda;Aksesuar;Nike;2933.84;Yetiskin;4
2671;Michelin Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Michelin;5687.29;Yetiskin;64
2672;LOreal Parfum Nemlendirici;Kozmetik;Parfum;LOreal;1123.23;Cocuk;96
2673;Reebok Fitness Spor Çantası;Spor;Fitness;Reebok;923.83;Genc;99
2674;Pasabahce Mutfak Kahve Makinesi;Ev-Yasam;Mutfak;Pasabahce;3029.82;Yetiskin;10
2675;Salomon Outdoor Spor Çantası;Spor;Outdoor;Salomon;2967.18;Yasli;94
2676;Continental Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Continental;5155.54;Yetiskin;37
2677;Fisher-Price Klasik Seti;Oyuncak;Klasik;Fisher-Price;2060.10;Yasli;93
2678;Hasbro Aksiyon Koleksiyonu;Oyuncak;Aksiyon;Hasbro;818.47;Yetiskin;6
2679;Ithaki Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Ithaki;244.35;Yasli;65
2680;Gucci Sokak Stili Gözlük;Moda;Sokak Stili;Gucci;3243.29;Genc;36
2681;Lancome Makyaj Ruj;Kozmetik;Makyaj;Lancome;1229.31;Yetiskin;72
2682;HP Mobil Yasam Tablet;Teknoloji;Mobil Yasam;HP;26694.81;Genc;16
2683;Nivea Parfum Cilt Serumu;Kozmetik;Parfum;Nivea;432.30;Cocuk;74
2684;Roland Sahne DJ Ekipmanı;Muzik;Sahne;Roland;3595.68;Yasli;8
2685;Pebeo Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Pebeo;2066.16;Yetiskin;24
2686;H&M Klasik Saat;Moda;Klasik;H&M;2746.58;Cocuk;80
2687;Lenovo Yazilim Kulaklık;Teknoloji;Yazilim;Lenovo;41183.46;Yasli;30
2688;Bose Analog Enstrüman;Muzik;Analog;Bose;10167.47;Yasli;97
2689;Zowie Yayincilik Koleksiyonu;Oyun;Yayincilik;Zowie;3335.91;Yasli;5
2690;Lenovo Yazilim Akıllı Saat;Teknoloji;Yazilim;Lenovo;37153.28;Yetiskin;95
2691;Nivea Parfum Nemlendirici;Kozmetik;Parfum;Nivea;344.98;Cocuk;86
2692;Under Armour Outdoor Spor Çantası;Spor;Outdoor;Under Armour;717.64;Genc;99
2693;Logitech Retro Seti;Oyun;Retro;Logitech;1296.80;Cocuk;49
2694;Iletisim Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Iletisim;412.23;Yetiskin;65
2695;JBL Analog Pikap;Muzik;Analog;JBL;24421.41;Genc;83
2696;Levi's Sokak Stili Parfüm;Moda;Sokak Stili;Levi's;3763.74;Cocuk;4
2697;Wilson Fitness Koşu Ayakkabısı;Spor;Fitness;Wilson;6504.00;Yetiskin;45
2698;Ithaki Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Ithaki;360.85;Genc;63
2699;Columbia Ekipman Antrenman Ekipmanı;Spor;Ekipman;Columbia;6637.17;Yetiskin;48
2700;MSI Yayincilik Paketi;Oyun;Yayincilik;MSI;563.48;Yetiskin;40
2701;Everest Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Everest;382.71;Genc;40
2702;Can Yayinlari Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Can Yayinlari;59.22;Yetiskin;51
2703;Corsair E-Spor Koleksiyonu;Oyun;E-Spor;Corsair;2719.30;Yetiskin;4
2704;Zara Aksesuar Ceket;Moda;Aksesuar;Zara;5380.11;Yasli;42
2705;Dell Yazilim Bilgisayar;Teknoloji;Yazilim;Dell;25874.66;Genc;5
2706;Columbia Fitness Spor Çantası;Spor;Fitness;Columbia;2441.02;Yetiskin;39
2707;Wilson Fitness Antrenman Ekipmanı;Spor;Fitness;Wilson;2696.62;Yasli;16
2708;LG Ev Ofis Akıllı Saat;Teknoloji;Ev Ofis;LG;27058.38;Genc;94
2709;Iletisim Tarih Romanı/Kitabı;Kitap;Tarih;Iletisim;236.23;Yasli;30
2710;LG Yazilim Akıllı Telefon;Teknoloji;Yazilim;LG;39368.48;Yetiskin;72
2711;Gigabyte E-Spor Seti;Oyun;E-Spor;Gigabyte;4463.84;Genc;87
2712;Ithaki Tarih Romanı/Kitabı;Kitap;Tarih;Ithaki;425.05;Yetiskin;96
2713;Faber-Castell El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Faber-Castell;4095.08;Yetiskin;9
2714;Nivea Makyaj Nemlendirici;Kozmetik;Makyaj;Nivea;1375.89;Yetiskin;13
2715;Gibson Sahne Enstrüman;Muzik;Sahne;Gibson;22534.26;Cocuk;39
2716;Zara Sokak Stili Saat;Moda;Sokak Stili;Zara;5296.42;Genc;20
2717;H&M Sokak Stili Ceket;Moda;Sokak Stili;H&M;5676.06;Cocuk;96
2718;Liquitex El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Liquitex;2498.04;Yasli;1
2719;Sennheiser Sahne Pikap;Muzik;Sahne;Sennheiser;14513.66;Cocuk;34
2720;Beko Konfor Robot Süpürge;Ev-Yasam;Konfor;Beko;6850.71;Yetiskin;21
2721;Corsair Yayincilik Koleksiyonu;Oyun;Yayincilik;Corsair;2372.16;Yasli;61
2722;Karaca Konfor Kahve Makinesi;Ev-Yasam;Konfor;Karaca;2484.39;Yasli;64
2723;SteelSeries E-Spor Paketi;Oyun;E-Spor;SteelSeries;1578.78;Genc;42
2724;Puma Klasik Parfüm;Moda;Klasik;Puma;5780.34;Cocuk;19
2725;Zowie Yayincilik Paketi;Oyun;Yayincilik;Zowie;1390.71;Yasli;68
2726;Moleskine Kirtasiye Paketi;Hobi-Sanat;Kirtasiye;Moleskine;212.83;Yasli;50
2727;Roland Analog Enstrüman;Muzik;Analog;Roland;15962.61;Yasli;77
2728;Arzum Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;Arzum;11757.55;Genc;22
2729;Chanel Makyaj Göz Kalemi;Kozmetik;Makyaj;Chanel;1609.56;Yetiskin;57
2730;Liquitex Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Liquitex;2500.81;Cocuk;63
2731;LG Mobil Yasam Akıllı Telefon;Teknoloji;Mobil Yasam;LG;26957.71;Genc;45
2732;Corsair Retro Koleksiyonu;Oyun;Retro;Corsair;1435.00;Yasli;62
2733;Apple Yazilim Bilgisayar;Teknoloji;Yazilim;Apple;34453.18;Yasli;72
2734;Ithaki Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Ithaki;385.81;Genc;83
2735;SteelSeries Retro Paketi;Oyun;Retro;SteelSeries;1180.16;Yasli;44
2736;Puma Klasik Ceket;Moda;Klasik;Puma;2452.68;Yasli;89
2737;Melissa Doug Aksiyon Seti;Oyuncak;Aksiyon;Melissa Doug;3735.10;Genc;16
2738;Faber-Castell Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Faber-Castell;2837.78;Yasli;41
2739;North Face Ekipman Spor Çantası;Spor;Ekipman;North Face;4172.38;Cocuk;70
2740;Yapi Kredi Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Yapi Kredi;446.38;Yasli;59
2741;Nintendo Retro Koleksiyonu;Oyun;Retro;Nintendo;600.25;Yetiskin;77
2742;Logitech E-Spor Paketi;Oyun;E-Spor;Logitech;2406.92;Genc;54
2743;Fender Sahne DJ Ekipmanı;Muzik;Sahne;Fender;18686.09;Cocuk;37
2744;Goodyear Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Goodyear;3086.03;Genc;52
2745;Bosch Konfor Kahve Makinesi;Ev-Yasam;Konfor;Bosch;8112.24;Yetiskin;34
2746;Prismacolor El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Prismacolor;1428.19;Cocuk;16
2747;Metis Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Metis;121.15;Cocuk;34
2748;Liquitex Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Liquitex;1954.24;Genc;63
2749;English Home Dekorasyon Dekoratif Lamba;Ev-Yasam;Dekorasyon;English Home;1422.78;Yetiskin;18
2750;Lacoste Sokak Stili Gözlük;Moda;Sokak Stili;Lacoste;1524.40;Yetiskin;69
2751;Salomon Fitness Spor Çantası;Spor;Fitness;Salomon;1319.31;Cocuk;17
2752;Sephora Bakim Nemlendirici;Kozmetik;Bakim;Sephora;248.19;Yasli;90
2753;Levi's Sokak Stili Ceket;Moda;Sokak Stili;Levi's;4823.31;Yasli;46
2754;Sennheiser Analog DJ Ekipmanı;Muzik;Analog;Sennheiser;14147.64;Genc;78
2755;MAC Makyaj Ruj;Kozmetik;Makyaj;MAC;678.75;Yetiskin;68
2756;MAC Bakim Ruj;Kozmetik;Bakim;MAC;152.25;Yetiskin;89
2757;Sephora Parfum Göz Kalemi;Kozmetik;Parfum;Sephora;353.08;Yetiskin;48
2758;Alfa Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Alfa Yayinlari;415.89;Yetiskin;55
2759;H&M Sokak Stili Saat;Moda;Sokak Stili;H&M;4610.08;Genc;2
2760;Can Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Can Yayinlari;430.59;Genc;72
2761;Audio-Technica Studyo DJ Ekipmanı;Muzik;Studyo;Audio-Technica;3873.08;Yetiskin;83
2762;Burberry Aksesuar Gözlük;Moda;Aksesuar;Burberry;3585.46;Genc;27
2763;Daler Rowney Resim Paketi;Hobi-Sanat;Resim;Daler Rowney;1203.59;Yasli;37
2764;Audio-Technica Analog Amfi;Muzik;Analog;Audio-Technica;15105.81;Cocuk;18
2765;Zowie E-Spor Seti;Oyun;E-Spor;Zowie;2527.01;Yetiskin;51
2766;Chanel Bakim Göz Kalemi;Kozmetik;Bakim;Chanel;1910.12;Yasli;98
2767;Arzum Konfor Robot Süpürge;Ev-Yasam;Konfor;Arzum;11048.07;Genc;59
2768;Reebok Ekipman Eşofman Takımı;Spor;Ekipman;Reebok;5616.30;Yetiskin;35
2769;Asus Mobil Yasam Kulaklık;Teknoloji;Mobil Yasam;Asus;25261.19;Genc;52
2770;Goodyear Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Goodyear;8953.19;Yasli;16
2771;Ikea Dekorasyon Kahve Makinesi;Ev-Yasam;Dekorasyon;Ikea;859.73;Cocuk;16
2772;Beko Mutfak Kahve Makinesi;Ev-Yasam;Mutfak;Beko;1175.64;Yasli;44
2773;Pebeo Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Pebeo;4267.54;Genc;10
2774;Canson Resim Seti;Hobi-Sanat;Resim;Canson;3156.82;Yetiskin;51
2775;SteelSeries E-Spor Paketi;Oyun;E-Spor;SteelSeries;217.13;Genc;48
2776;Bosch Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Bosch;14955.37;Genc;89
2777;Pioneer Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Pioneer;3983.67;Cocuk;56
2778;Meguiars Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Meguiars;13811.22;Cocuk;39
2779;Sony Mobil Yasam Akıllı Saat;Teknoloji;Mobil Yasam;Sony;36865.66;Yetiskin;19
2780;Nivea Makyaj Göz Kalemi;Kozmetik;Makyaj;Nivea;1924.84;Yasli;57
2781;Decathlon Outdoor Koşu Ayakkabısı;Spor;Outdoor;Decathlon;7030.41;Yetiskin;6
2782;Liquitex Kirtasiye Seti;Hobi-Sanat;Kirtasiye;Liquitex;480.37;Yasli;58
2783;Meguiars Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Meguiars;7853.24;Cocuk;64
2784;Dogan Kitap Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Dogan Kitap;422.99;Yasli;86
2785;Winsor Newton El Sanatlari Paketi;Hobi-Sanat;El Sanatlari;Winsor Newton;898.30;Yetiskin;19
2786;Marshall Analog DJ Ekipmanı;Muzik;Analog;Marshall;2381.22;Yasli;45
2787;Marshall Studyo Amfi;Muzik;Studyo;Marshall;20319.71;Genc;81
2788;Audio-Technica Analog Pikap;Muzik;Analog;Audio-Technica;11650.67;Cocuk;1
2789;Lancome Parfum Cilt Serumu;Kozmetik;Parfum;Lancome;786.19;Genc;2
2790;Yamaha Sahne Amfi;Muzik;Sahne;Yamaha;19711.13;Yasli;19
2791;Lancome Makyaj Ruj;Kozmetik;Makyaj;Lancome;1765.69;Yetiskin;56
2792;Melissa Doug Klasik Seti;Oyuncak;Klasik;Melissa Doug;3950.05;Genc;99
2793;Can Yayinlari Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Can Yayinlari;249.08;Cocuk;33
2794;Yamaha Studyo DJ Ekipmanı;Muzik;Studyo;Yamaha;9614.34;Cocuk;17
2795;Madame Coco Mutfak Kahve Makinesi;Ev-Yasam;Mutfak;Madame Coco;1240.59;Genc;7
2796;Moleskine El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Moleskine;438.70;Cocuk;31
2797;Corsair Yayincilik Paketi;Oyun;Yayincilik;Corsair;3477.27;Genc;12
2798;VTech Aksiyon Seti;Oyuncak;Aksiyon;VTech;1581.56;Yasli;71
2799;Gibson Sahne Amfi;Muzik;Sahne;Gibson;1413.29;Yetiskin;7
2800;Sennheiser Studyo Pikap;Muzik;Studyo;Sennheiser;10683.73;Cocuk;83
2801;Corsair Yayincilik Koleksiyonu;Oyun;Yayincilik;Corsair;921.98;Yasli;89
2802;Apple Mobil Yasam Tablet;Teknoloji;Mobil Yasam;Apple;38480.47;Cocuk;75
2803;Dell Yazilim Kulaklık;Teknoloji;Yazilim;Dell;18005.08;Cocuk;50
2804;Levi's Sokak Stili Çanta;Moda;Sokak Stili;Levi's;4577.71;Genc;89
2805;Gigabyte Retro Seti;Oyun;Retro;Gigabyte;1483.77;Yetiskin;40
2806;Gucci Sokak Stili Saat;Moda;Sokak Stili;Gucci;2476.06;Yetiskin;3
2807;Salomon Fitness Eşofman Takımı;Spor;Fitness;Salomon;4588.78;Yetiskin;53
2808;Prismacolor Resim Koleksiyonu;Hobi-Sanat;Resim;Prismacolor;297.51;Yetiskin;47
2809;VTech Klasik Paketi;Oyuncak;Klasik;VTech;3080.63;Cocuk;40
2810;MSI Retro Koleksiyonu;Oyun;Retro;MSI;4246.62;Yetiskin;8
2811;Roland Studyo DJ Ekipmanı;Muzik;Studyo;Roland;24151.47;Yetiskin;12
2812;Casio Studyo Enstrüman;Muzik;Studyo;Casio;8161.67;Genc;14
2813;Estee Lauder Parfum Ruj;Kozmetik;Parfum;Estee Lauder;689.66;Cocuk;58
2814;Ithaki Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Ithaki;392.07;Yasli;47
2815;Pegasus Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Pegasus;108.17;Yasli;12
2816;Puma Klasik Çanta;Moda;Klasik;Puma;2686.75;Yetiskin;23
2817;Corsair E-Spor Paketi;Oyun;E-Spor;Corsair;2763.20;Genc;20
2818;LOreal Parfum Ruj;Kozmetik;Parfum;LOreal;846.71;Yetiskin;1
2819;Chanel Parfum Nemlendirici;Kozmetik;Parfum;Chanel;1759.24;Cocuk;90
2820;Alfa Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Alfa Yayinlari;440.86;Yasli;27
2821;Adidas Aksesuar Gözlük;Moda;Aksesuar;Adidas;4694.25;Genc;38
2822;LEGO Egitici Seti;Oyuncak;Egitici;LEGO;4115.86;Genc;42
2823;Iletisim Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Iletisim;379.22;Yetiskin;28
2824;Zowie Retro Paketi;Oyun;Retro;Zowie;2539.98;Cocuk;81
2825;Nvidia E-Spor Seti;Oyun;E-Spor;Nvidia;3165.66;Genc;40
2826;H&M Aksesuar Ceket;Moda;Aksesuar;H&M;1790.52;Yasli;45
2827;North Face Ekipman Koşu Ayakkabısı;Spor;Ekipman;North Face;2105.36;Yasli;13
2828;Bosch Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Bosch;13368.18;Cocuk;9
2829;Dell Ev Ofis Bilgisayar;Teknoloji;Ev Ofis;Dell;34317.53;Yetiskin;26
2830;Asus Yazilim Tablet;Teknoloji;Yazilim;Asus;31810.71;Cocuk;29
2831;Maybelline Bakim Ruj;Kozmetik;Bakim;Maybelline;475.51;Genc;82
2832;Under Armour Outdoor Antrenman Ekipmanı;Spor;Outdoor;Under Armour;4360.78;Yetiskin;93
2833;Continental Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Continental;6173.90;Yasli;17
2834;Wilson Ekipman Koşu Ayakkabısı;Spor;Ekipman;Wilson;2232.79;Cocuk;61
2835;Maybelline Makyaj Ruj;Kozmetik;Makyaj;Maybelline;658.33;Genc;40
2836;Melissa Doug Egitici Seti;Oyuncak;Egitici;Melissa Doug;674.31;Yasli;85
2837;3M Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;3M;5758.21;Yetiskin;100
2838;3M Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;3M;6990.95;Yetiskin;5
2839;MGA Entertainment Klasik Paketi;Oyuncak;Klasik;MGA Entertainment;958.38;Yasli;92
2840;Xiaomi Mobil Yasam Tablet;Teknoloji;Mobil Yasam;Xiaomi;25183.02;Cocuk;69
2841;North Face Ekipman Antrenman Ekipmanı;Spor;Ekipman;North Face;7384.43;Cocuk;87
2842;Derwent Resim Paketi;Hobi-Sanat;Resim;Derwent;1546.29;Yasli;7
2843;MAC Makyaj Ruj;Kozmetik;Makyaj;MAC;1772.53;Yasli;39
2844;Prada Klasik Gözlük;Moda;Klasik;Prada;1724.69;Cocuk;1
2845;Sephora Bakim Ruj;Kozmetik;Bakim;Sephora;1768.52;Cocuk;95
2846;Moleskine Resim Seti;Hobi-Sanat;Resim;Moleskine;319.55;Genc;82
2847;Asus Ev Ofis Tablet;Teknoloji;Ev Ofis;Asus;20412.41;Genc;85
2848;Canson El Sanatlari Koleksiyonu;Hobi-Sanat;El Sanatlari;Canson;4878.11;Yasli;52
2849;Everest Edebiyat Romanı/Kitabı;Kitap;Edebiyat;Everest;222.15;Yetiskin;8
2850;Bose Sahne Pikap;Muzik;Sahne;Bose;16675.30;Genc;94
2851;LEGO Klasik Paketi;Oyuncak;Klasik;LEGO;4801.37;Cocuk;26
2852;Puma Aksesuar Saat;Moda;Aksesuar;Puma;3618.30;Yasli;88
2853;H&M Aksesuar Saat;Moda;Aksesuar;H&M;3954.61;Yasli;90
2854;Nike Klasik Saat;Moda;Klasik;Nike;5372.64;Cocuk;76
2855;Playmobil Klasik Seti;Oyuncak;Klasik;Playmobil;971.76;Yasli;16
2856;Ithaki Tarih Romanı/Kitabı;Kitap;Tarih;Ithaki;346.64;Cocuk;34
2857;Castrol Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Castrol;2957.61;Genc;50
2858;Pasabahce Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;Pasabahce;1335.29;Genc;33
2859;Adidas Klasik Saat;Moda;Klasik;Adidas;3047.45;Yetiskin;42
2860;Goodyear Konfor Aksesuarı;Otomobil-Aksesuar;Konfor;Goodyear;9913.16;Cocuk;71
2861;Metis Tarih Romanı/Kitabı;Kitap;Tarih;Metis;401.60;Genc;31
2862;SteelSeries Retro Koleksiyonu;Oyun;Retro;SteelSeries;1563.53;Cocuk;81
2863;Apple Yazilim Kulaklık;Teknoloji;Yazilim;Apple;36072.04;Yasli;87
2864;LOreal Bakim Cilt Serumu;Kozmetik;Bakim;LOreal;1665.83;Yasli;24
2865;Fisher-Price Klasik Seti;Oyuncak;Klasik;Fisher-Price;599.62;Cocuk;58
2866;Puma Sokak Stili Ceket;Moda;Sokak Stili;Puma;2207.31;Genc;44
2867;Pegasus Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Pegasus;143.99;Genc;58
2868;Everest Tarih Romanı/Kitabı;Kitap;Tarih;Everest;83.52;Yetiskin;48
2869;North Face Ekipman Antrenman Ekipmanı;Spor;Ekipman;North Face;3451.73;Yetiskin;71
2870;Mattel Klasik Seti;Oyuncak;Klasik;Mattel;960.23;Genc;34
2871;Dior Makyaj Cilt Serumu;Kozmetik;Makyaj;Dior;631.75;Cocuk;43
2872;Chanel Bakim Ruj;Kozmetik;Bakim;Chanel;1566.17;Yasli;13
2873;Goodyear Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Goodyear;11160.33;Yasli;18
2874;Beko Dekorasyon Robot Süpürge;Ev-Yasam;Dekorasyon;Beko;3810.35;Yetiskin;97
2875;Pegasus Tarih Romanı/Kitabı;Kitap;Tarih;Pegasus;120.61;Yasli;9
2876;Playmobil Klasik Seti;Oyuncak;Klasik;Playmobil;3554.11;Yetiskin;2
2877;Estee Lauder Makyaj Göz Kalemi;Kozmetik;Makyaj;Estee Lauder;919.48;Yasli;99
2878;Pasabahce Konfor Nevresim Takımı;Ev-Yasam;Konfor;Pasabahce;987.08;Cocuk;30
2879;Winsor Newton El Sanatlari Paketi;Hobi-Sanat;El Sanatlari;Winsor Newton;1989.96;Yasli;47
2880;Playmobil Klasik Seti;Oyuncak;Klasik;Playmobil;1365.20;Yetiskin;6
2881;Lancome Makyaj Cilt Serumu;Kozmetik;Makyaj;Lancome;1714.14;Genc;59
2882;LOreal Bakim Nemlendirici;Kozmetik;Bakim;LOreal;1352.74;Genc;76
2883;SteelSeries Yayincilik Koleksiyonu;Oyun;Yayincilik;SteelSeries;4783.14;Yetiskin;24
2884;MGA Entertainment Egitici Koleksiyonu;Oyuncak;Egitici;MGA Entertainment;586.45;Yetiskin;95
2885;Winsor Newton Resim Seti;Hobi-Sanat;Resim;Winsor Newton;3851.71;Yasli;31
2886;Is Bankasi Yayinlari Tarih Romanı/Kitabı;Kitap;Tarih;Is Bankasi Yayinlari;204.19;Yasli;37
2887;Gigabyte E-Spor Paketi;Oyun;E-Spor;Gigabyte;4156.53;Cocuk;88
2888;Yamaha Studyo Enstrüman;Muzik;Studyo;Yamaha;9846.06;Genc;63
2889;Sephora Bakim Ruj;Kozmetik;Bakim;Sephora;1914.36;Genc;68
2890;Philips Mutfak Nevresim Takımı;Ev-Yasam;Mutfak;Philips;7421.32;Cocuk;41
2891;Zowie E-Spor Seti;Oyun;E-Spor;Zowie;1080.51;Genc;82
2892;Mizuno Outdoor Antrenman Ekipmanı;Spor;Outdoor;Mizuno;1259.99;Genc;89
2893;Columbia Outdoor Antrenman Ekipmanı;Spor;Outdoor;Columbia;3427.16;Yetiskin;56
2894;Nvidia Yayincilik Seti;Oyun;Yayincilik;Nvidia;3970.80;Yasli;31
2895;Goodyear Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Goodyear;9703.99;Cocuk;46
2896;Moleskine El Sanatlari Seti;Hobi-Sanat;El Sanatlari;Moleskine;289.76;Cocuk;77
2897;Nike Aksesuar Gözlük;Moda;Aksesuar;Nike;1094.02;Yasli;51
2898;Melissa Doug Egitici Koleksiyonu;Oyuncak;Egitici;Melissa Doug;403.10;Genc;95
2899;MGA Entertainment Egitici Koleksiyonu;Oyuncak;Egitici;MGA Entertainment;1936.99;Yasli;59
2900;Samsung Mobil Yasam Akıllı Saat;Teknoloji;Mobil Yasam;Samsung;37166.96;Yetiskin;28
2901;Michelin Guvenlik Aksesuarı;Otomobil-Aksesuar;Guvenlik;Michelin;10339.90;Yetiskin;70
2902;English Home Konfor Robot Süpürge;Ev-Yasam;Konfor;English Home;8279.06;Genc;67
2903;Salomon Ekipman Koşu Ayakkabısı;Spor;Ekipman;Salomon;6387.72;Cocuk;83
2904;VTech Egitici Koleksiyonu;Oyuncak;Egitici;VTech;3732.85;Cocuk;60
2905;Dogan Kitap Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Dogan Kitap;54.52;Cocuk;13
2906;Dior Makyaj Nemlendirici;Kozmetik;Makyaj;Dior;1793.84;Genc;15
2907;Gibson Sahne DJ Ekipmanı;Muzik;Sahne;Gibson;8403.24;Cocuk;93
2908;MGA Entertainment Egitici Seti;Oyuncak;Egitici;MGA Entertainment;2688.35;Yetiskin;65
2909;Ithaki Tarih Romanı/Kitabı;Kitap;Tarih;Ithaki;429.81;Yasli;41
2910;Moleskine Resim Seti;Hobi-Sanat;Resim;Moleskine;828.21;Cocuk;89
2911;Mattel Egitici Koleksiyonu;Oyuncak;Egitici;Mattel;2340.97;Genc;66
2912;Alfa Yayinlari Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Alfa Yayinlari;309.94;Genc;26
2913;Faber-Castell Kirtasiye Koleksiyonu;Hobi-Sanat;Kirtasiye;Faber-Castell;1749.37;Cocuk;42
2914;Dogan Kitap Kisisel Gelisim Romanı/Kitabı;Kitap;Kisisel Gelisim;Dogan Kitap;113.24;Yasli;30
2915;Adidas Klasik Çanta;Moda;Klasik;Adidas;5325.25;Yasli;94
2916;Burberry Aksesuar Gözlük;Moda;Aksesuar;Burberry;3390.81;Cocuk;94
2917;Philips Mutfak Kahve Makinesi;Ev-Yasam;Mutfak;Philips;5835.67;Yetiskin;73
2918;Madame Coco Mutfak Dekoratif Lamba;Ev-Yasam;Mutfak;Madame Coco;566.10;Yasli;44
2919;Mattel Egitici Seti;Oyuncak;Egitici;Mattel;3652.45;Yasli;74
2920;Karaca Konfor Nevresim Takımı;Ev-Yasam;Konfor;Karaca;6112.78;Yetiskin;91
2921;Razer Yayincilik Koleksiyonu;Oyun;Yayincilik;Razer;1161.79;Cocuk;59
2922;MAC Makyaj Ruj;Kozmetik;Makyaj;MAC;917.92;Genc;46
2923;Mattel Klasik Koleksiyonu;Oyuncak;Klasik;Mattel;3923.44;Genc;78
2924;Meguiars Arac Bakimi Aksesuarı;Otomobil-Aksesuar;Arac Bakimi;Meguiars;9316.34;Genc;100
2925;Razer E-Spor Paketi;Oyun;E-Spor;Razer;1925.26;Genc;72
2926;Karaca Mutfak Kahve Makinesi;Ev-Yasam;Mutfak;Karaca;4791.52;Genc;8
2927;Canson Resim Koleksiyonu;Hobi-Sanat;Resim;Canson;1170.30;Yasli;80
2928;Beko Konfor Kahve Makinesi;Ev-Yasam;Konfor;Beko;2432.53;Cocuk;69
2929;LOreal Parfum Ruj;Kozmetik;Parfum;LOreal;856.48;Yetiskin;4
